Time,Value
126315,268
126366,267
126416,269
126468,268
126518,269
126569,268
126619,267
126670,268
126721,268
126771,267
126822,267
126872,268
126923,269
126973,268
127025,267
127075,269
127126,268
127176,271
127227,267
127278,269
127329,266
127379,267
127429,268
127480,266
127531,267
127582,269
127632,268
127683,268
127733,269
127784,269
127835,267
127886,268
127936,269
127987,269
128037,269
128089,268
128139,268
128189,268
128240,269
128290,269
128342,268
128392,268
128443,268
128493,266
128544,269
128594,270
128646,269
128696,270
128747,269
128797,268
128848,267
128899,269
128949,267
129000,266
129050,268
129101,269
129152,269
129203,269
129253,269
129304,269
129354,268
129405,269
129456,268
129507,269
129557,267
129607,267
129658,270
129709,268
129760,269
129810,268
129861,269
129911,268
129963,270
130013,269
130064,269
130114,270
130165,266
130215,267
130267,268
130317,268
130367,267
130418,269
130468,269
130520,269
130570,268
130621,267
130671,267
130722,269
130772,268
130824,269
130874,267
130925,269
130975,269
131026,268
131077,267
131127,268
131178,270
131228,267
131279,267
131330,268
131381,269
131431,270
131482,269
131532,267
131584,270
131634,269
131685,268
131735,266
131785,267
131836,270
131887,266
131938,267
131988,270
132039,269
132089,267
132141,270
132191,269
132242,267
132292,268
132343,270
132393,267
132445,269
132495,267
132545,266
132596,268
132646,268
132698,267
132748,267
132799,269
132849,268
132900,266
132951,268
133002,269
133052,269
133103,269
133153,268
133204,268
133255,269
133305,270
133356,270
133406,267
133457,268
133508,268
133559,269
133609,268
133660,269
133710,267
133762,268
133812,267
133863,268
133913,268
133963,268
134014,268
134065,268
134116,268
134166,269
134217,270
134267,268
134319,268
134369,269
134420,265
134470,269
134521,268
134572,268
134623,266
134673,267
134723,268
134774,269
134824,268
134876,270
134926,267
134977,270
135027,267
135078,269
135129,267
135180,269
135230,267
135281,267
135331,268
135383,268
135433,268
135483,270
135534,269
135584,270
135635,269
135686,267
135737,267
135787,267
135838,269
135888,266
135940,267
135990,267
136041,268
136091,267
136141,269
136193,269
136243,267
136294,266
136344,270
136395,267
136445,269
136497,268
136547,270
136598,268
136648,267
136699,268
136750,269
136801,268
136851,269
136901,269
136952,268
137003,269
137054,270
137104,267
137155,266
137205,267
137256,268
137307,269
137358,268
137408,270
137459,269
137509,267
137560,269
137611,269
137661,266
137712,268
137762,267
137814,267
137864,269
137915,267
137965,268
138016,267
138066,268
138118,269
138168,265
138219,270
138269,268
138319,269
138371,269
138421,270
138472,268
138522,269
138573,268
138624,269
138675,267
138725,269
138776,268
138826,267
138877,269
138928,270
138979,268
139029,267
139079,268
139130,269
139181,267
139232,268
139282,270
139333,269
139383,269
139435,269
139485,268
139536,267
139586,270
139637,269
139687,268
139738,268
139789,268
139839,268
139890,270
139940,268
139992,269
140042,269
140093,269
140143,268
140194,268
140244,271
140296,269
140346,266
140397,270
140447,269
140497,268
140549,268
140599,269
140650,270
140700,267
140751,270
140802,269
140853,270
140903,268
140954,268
141004,269
141056,267
141106,267
141157,267
141207,267
141257,269
141308,268
141359,269
141410,267
141460,270
141511,269
